Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
B6U12,2012-07-06,1.5518,1.5549,1.5458,1.5472,-0.005,-0.32%,89914,118218
B6U12,2012-07-09,1.5478,1.5536,1.5468,1.5516,0.0044,+0.28%,61583,118262
B6U12,2012-07-10,1.5525,1.5547,1.5476,1.5502,-0.0014,-0.09%,80748,117616
B6U12,2012-07-11,1.5515,1.5575,1.5483,1.5485,-0.0017,-0.11%,89994,117820
B6U12,2012-07-12,1.5503,1.5514,1.539,1.5427,-0.0058,-0.37%,95129,124955
B6U12,2012-07-13,1.5428,1.558,1.5411,1.5564,0.0137,+0.89%,106944,117304
B6U12,2012-07-16,1.5575,1.5653,1.5515,1.5625,0.0061,+0.39%,102614,119078
B6U12,2012-07-17,1.563,1.5676,1.5552,1.5644,0.0019,+0.12%,90792,116976
B6U12,2012-07-18,1.5645,1.5667,1.5578,1.5638,-0.0006,-0.04%,82789,116778
B6U12,2012-07-19,1.5652,1.5736,1.5634,1.572,0.0082,+0.52%,102836,111987
B6U12,2012-07-20,1.5714,1.572,1.5609,1.5614,-0.0106,-0.67%,82606,111459
B6U12,2012-07-23,1.5607,1.5614,1.5482,1.5519,-0.0095,-0.61%,119618,117189
B6U12,2012-07-24,1.5503,1.555,1.5484,1.5506,-0.0013,-0.08%,98993,116143
B6U12,2012-07-25,1.5504,1.555,1.5456,1.5507,0.0001,+0.01%,141545,121549
B6U12,2012-07-26,1.5496,1.5724,1.5469,1.5691,0.0184,+1.19%,170350,120031
B6U12,2012-07-27,1.5682,1.5767,1.5665,1.5724,0.0033,+0.21%,136666,115591
B6U12,2012-07-30,1.5732,1.5739,1.5671,1.5707,-0.0017,-0.11%,77309,111053
B6U12,2012-07-31,1.5705,1.5729,1.5625,1.5681,-0.0026,-0.17%,109607,110770
B6U12,2012-08-01,1.5674,1.569,1.5529,1.5551,-0.013,-0.83%,111774,113972
B6U12,2012-08-02,1.554,1.5663,1.5488,1.5501,-0.005,-0.32%,180458,116354
B6U12,2012-08-03,1.5513,1.5657,1.5501,1.5643,0.0142,+0.92%,108253,116899
B6U12,2012-08-06,1.5638,1.5665,1.5545,1.5608,-0.0035,-0.22%,83270,117891
B6U12,2012-08-07,1.5599,1.5684,1.5562,1.5638,0.003,+0.19%,88689,115125
B6U12,2012-08-08,1.562,1.5676,1.5571,1.5648,0.001,+0.06%,92425,116683
B6U12,2012-08-09,1.5655,1.5685,1.5603,1.5633,-0.0015,-0.10%,87197,114398
B6U12,2012-08-10,1.5634,1.57,1.5575,1.5671,0.0038,+0.24%,124324,116196
B6U12,2012-08-13,1.5676,1.5716,1.5655,1.5686,0.0015,+0.10%,77464,115406
